"SMILES","HMDB.ID","lab.id","b'Metabolite.name'","M","m/z","CCS","adducts","formal.charge","physiological.charge","predicted.logp.ALOGPS","predicted.logp.ChemAxon","logs","pka.strongest.acidic","pka.strongest.basic","acceptor.count","donor.count","polar.surface.area","rotatable.bond.count","refractivity","polarizability"
"NC(CC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1)C(O)=O","HMDB00582","S0121","b'3,5-Diiodothyronine'","524.8934","523.8856","186.4403045","[M-H]","0","0","0.45","1.87","-4","0.33","9.23","4","3","92.78","5","100.06","38.7"
"[H][C@@](C)(CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@]([H])(O)C[C@]4([H])C[C@]([H])(O)CC[C@]4(C)[C@@]3([H])C[C@]([H])(O)[C@]12C","HMDB00619","S0034","b'Cholic acid'","408.2876","407.2798","200.7237894","[M-H]","0","-1","2.26","2.48","-3.74","4.48","-0.16","5","4","97.99","4","110.79","46.93"
"[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@H](O)CC[C@]12C","HMDB00626","S0111","b'Deoxycholic acid'","392.2927","391.2849","200.6969184","[M-H]","0","-1","3.3","3.79","-4.35","4.65","-0.35","4","3","77.76","4","109.2","46.17"
"[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2","HMDB00631","L0371","b'Glycodeoxycholic acid'","449.3141","448.3063","197.8149202","[M-H]","0","-1","2.69","2.69","-4.76","3.77","-0.18","5","4","106.86","6","122","51.96"
"[H][C@@]12C[C@H](O)CC[C@]1(C)C1CC[C@]3(C)[C@H](CCC3C1[C@H](O)C2)[C@H](C)CCC(=O)NCC(O)=O","HMDB00637","S0244","b'Glycochenodeoxycholate'","449.3141","448.3063","198.8475699","[M-H]","0","-1","2.4","2.61","-4.75","3.77","-0.29","5","4","106.86","6","122.08","52.04"
"CCCCCCCCCCCC(O)=O","HMDB00638","S0184","b'Dodecanoic acid'","200.1776","199.1698","152.5839981","[M-H]","0","-1","5.13","4.48","-4.3","4.95","NA","2","1","37.3","10","58.68","25.85"
"O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O","HMDB00639","S0379","b'D-Galactarate'","210.0376","209.0298","130.2370434","[M-H]","0","-2","-1.77","-3.1","-0.52","2.83","-3.7","8","6","155.52","5","38.14","17.14"
"OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O","HMDB00645","L0327","b'a-D-Galactose 1-phosphate'","260.0297","259.0219","145.3204351","[M-H]","0","-2","-2","-3.1","-0.91","1.16","-3","8","6","156.91","3","46.8","20.62"
"[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O","HMDB00653","L0130","b'Sholesteryl sulfate'","466.3117","465.3039","237.0061504","[M-H]","0","-1","3.27","7.17","-6.8","-1.4","NA","3","1","63.6","7","130.61","56.43"
"OC(=O)CCCC(O)=O","HMDB00661","S0163","b'Glutaric acid'","132.0422","131.0344","120.0797202","[M-H]","0","-2","-0.25","0.046","-0.37","3.76","NA","4","2","74.6","4","28.14","12.17"
"O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O","HMDB00663","S0237","b'D-Glucarate'","210.0376","209.0298","130.50476","[M-H]","0","-2","-1.77","-3.1","-0.52","2.83","-3.7","8","6","155.52","5","38.14","16.8"
"OC(CC1=CNC2=C1C=CC=C2)C(O)=O","HMDB00671","L0142","b'Indolelactic acid'","205.0739","204.0661","146.5117016","[M-H]","0","-1","1.33","1.28","-1.99","4.14","-3.9","3","3","73.32","3","54.55","20.7"
"CCCCC\C=C/C\C=C/CCCCCCCC(O)=O","HMDB00673","L0126","b'Linoleic acid'","280.2402","279.2324","173.2440901","[M-H]","0","-1","7.06","6.42","-6.26","4.99","NA","2","1","37.3","14","88.52","35.86"
"CC(C)CC(=O)NCC(O)=O","HMDB00678","S0195","b'Isovalerylglycine'","159.0895","158.0817","138.1380635","[M-H]","0","-1","0.35","0.1","-1.39","4.17","-1.1","3","2","66.4","4","39.22","16.39"
"OS(=O)(=O)OC1=CNC2=CC=CC=C12","HMDB00682","L0119","b'Indoxyl sulfate'","213.0096","212.0018","140.596191","[M-H]","0","-1","-0.48","1.29","-2.43","-1.8","NA","3","2","79.39","2","49.12","19.37"
"CC(C)CCC(O)=O","HMDB00689","S0172","b'Isocaproic acid'","116.0837","115.0759","127.4796166","[M-H]","0","-1","1.72","1.65","-0.96","5.09","NA","2","1","37.3","3","31.02","13.06"
"O[C@H](CCC(O)=O)C(O)=O","HMDB00694","L0052","b'(S)-2-Hydroxyglutarate'","148.0372","147.0294","118.9858522","[M-H]","0","-2","-1.04","-0.82","0.03","3.28","-3.8","5","3","94.83","4","29.63","12.97"
"O[C@H](CCC(O)=O)C(O)=O","HMDB00694","L0275","b'(S)-2-Hydroxyglutarate'","148.0372","147.0294","119.1411475","[M-H]","0","-2","-1.04","-0.82","0.03","3.28","-3.8","5","3","94.83","4","29.63","12.97"
"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","HMDB00698","L0321","b'Glycolithocholic acid'","433.3192","454.2934","205.4888847","[M+Na-2H]","0","-1","3.71","3.92","-5.45","3.77","-0.58","4","3","86.63","6","120.48","51.3"
"CCCCCC(=O)NCC(O)=O","HMDB00701","L0195","b'Hexanoylglycine'","173.1052","172.0974","144.6379934","[M-H]","0","-1","0.9","0.71","-1.68","4.25","-0.95","3","2","66.4","6","43.88","18.74"
"N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O","HMDB00706","S0167","b'L-Aspartyl-L-phenylalanine'","280.1059","301.0801","162.3417081","[M+Na-2H]","0","-1","-2.43","-2.8","-2.39","3.17","8.53","6","4","129.72","7","68.45","27.39"
"OC(=O)CNC(=O)C1=CC=CC=C1","HMDB00714","S0171","b'Hippuric acid'","179.0582","178.0504","139.716073","[M-H]","0","-1","0.23","0.53","-2.18","3.59","-1.5","3","2","66.4","3","46.12","17.57"
"OC(=O)C1=CC(=O)C2=CC=CC=C2N1","HMDB00715","S0079","b'Kynurenic acid'","189.0426","210.0168","149.5110575","[M+Na-2H]","0","-1","1.16","1.58","-2.3","3.17","-4.4","4","2","66.4","1","52.32","18.05"
"OC(=O)[C@@H]1CCCCN1","HMDB00716","S0050","b'L-Pipecolic acid'","129.079","128.0712","126.7133022","[M-H]","0","0","-2.17","-2.1","0.09","2.06","10.39","3","2","49.33","1","32.67","13.49"
"NCC(=O)N1CCCC1C(O)=O","HMDB00721","S0169","b'Glycylproline'","172.0848","171.077","134.5898065","[M-H]","0","0","-2.65","-3.7","0.21","3.61","8.13","4","2","83.63","2","40.99","16.6"
"C[C@H](CCC(=O)NCCS(O)(=O)=O)C1CCC2C3CCC4C[C@H](O)CC[C@]4(C)C3CC[C@]12C","HMDB00722","S0307","b'Taurolithocholic acid'","483.3018","482.294","204.6236034","[M-H]","0","-1","2.1","2.19","-6.24","-0.84","0.099","5","3","103.7","7","129.09","55.66"
"CC(C)C(=O)NCC(O)=O","HMDB00730","L0206","b'Isobutyrylglycine'","145.0739","144.0661","132.0671034","[M-H]","0","-1","-0.11","-0.085","-0.91","4.06","-1.2","3","2","66.4","3","34.65","14.56"
"N[C@@H](CSS(O)(=O)=O)C(O)=O","HMDB00731","L0165","b'Cysteine-S-sulfate'","200.9766","221.9508","133.2914228","[M+Na-2H]","0","-1","-2.33","-2.3","-0.57","-1.9","8.99","6","3","117.69","4","38.64","16.76"
"OC(=O)\C=C\C1=CC2=C(N1)C=CC=C2","HMDB00734","S0026","b'Indoleacrylic acid'","187.0633","186.0555","134.5339714","[M-H]","0","-1","2.3","2.15","-2.93","4.64","NA","2","2","53.09","2","54.02","19.77"
"N1C=CC2=C1C=CC=C2","HMDB00738","S0044","b'Indole'","117.0578","116.05","117.0846902","[M-H]","0","0","2.29","2.07","-1.34","16.44","NA","0","1","15.79","0","37.14","12.82"
"CC(C)C[C@H](O)C(O)=O","HMDB00746","S0201","b'Hydroxyisocaproic acid'","132.0786","131.0708","126.0571256","[M-H]","0","-1","0.5","0.78","-0.03","4.26","-3.8","3","2","57.53","3","32.51","13.65"
"CC(CC(O)=O)CC(O)=O","HMDB00752","S0170","b'3-Methylglutaric acid'","146.0579","145.0501","122.8813223","[M-H]","0","-2","0.33","0.33","-0.6","3.91","NA","4","2","74.6","4","32.69","13.88"
"OC(CC1=CC=C(O)C=C1)C(O)=O","HMDB00755","S0194","b'Hydroxyphenyllactic acid'","182.0579","181.0501","139.4017766","[M-H]","0","-1","0.87","0.88","-1.58","3.58","-3.8","4","3","77.76","3","45.44","17.51"
"CC(C)C[C@H](NC(=O)CN)C(O)=O","HMDB00759","L0125","b'Glycyl-L-leucine'","188.1161","187.1083","142.0741283","[M-H]","0","0","-2.08","-2.7","-1.09","3.89","8.14","4","3","92.42","5","46.97","19.4"
"[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2C[C@H](O)CC[C@]12C","HMDB00761","S0301","b'Lithocholic acid '","376.2977","375.2899","199.9476462","[M-H]","0","-1","4.38","5.02","-5.87","4.79","-1.4","3","2","57.53","4","107.68","45.8"
"OC(=O)CCC1=CC=CC=C1","HMDB00764","S0197","b'3-Phenylpropanoic acid'","150.0681","149.0603","135.7421836","[M-H]","0","-1","1.84","2.06","-1.95","4.73","NA","2","1","37.3","3","41.97","15.94"
"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","HMDB00767","L0244","b'Pseudouridine'","244.0695","243.0617","145.2330038","[M-H]","0","0","-2.01","-3.1","-0.58","9.55","-3","6","5","128.12","2","52.44","21.81"
"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(CC[C@]12C)OS(O)(=O)=O","HMDB00774","L0417","b'pregnenolone sulfate'","396.197","395.1892","203.9071404","[M-H]","0","-1","0.98","3.64","-5.49","-1.4","-7.4","4","1","80.67","3","103.75","43.79"
"OC(CC1=CC=CC=C1)C(O)=O","HMDB00779","L0191","b'DL-3-Phenyllactic acid'","166.063","165.0552","134.7368181","[M-H]","0","-1","0.84","1.18","-1.23","4.02","-3.8","3","2","57.53","3","43.46","16.7"
"OC(CC1=CC=CC=C1)C(O)=O","HMDB00779","S0235","b'Phenyllactic acid'","166.063","165.0552","134.3603272","[M-H]","0","-1","0.84","1.18","-1.23","4.02","-3.8","3","2","57.53","3","43.46","16.7"
"CCC(=O)NCC(O)=O","HMDB00783","S0295","b'Propionylglycine'","131.0582","130.0504","126.9281158","[M-H]","0","-1","-0.44","-0.63","-0.59","3.93","-1.4","3","2","66.4","3","30.07","12.59"
"OC(=O)CCCCCCCC(O)=O","HMDB00784","S0199","b'Azelaic acid'","188.1049","187.0971","137.3775485","[M-H]","0","-2","1.37","1.82","-1.92","4.15","NA","4","2","74.6","8","46.54","20.5"
"O=C1NC(=O)C2=CNNC2=N1","HMDB00786","S0165","b'Oxypurinol'","152.0334","151.0256","120.1027106","[M-H]","0","0","-2.01","-1.7","-1.82","7.19","-3.7","5","3","82.59","0","55.35","12.6"
"OC(=O)CCCCCCCCC(O)=O","HMDB00792","S0193","b'Sebacic acid'","202.1205","201.1127","141.8957247","[M-H]","0","-2","1.93","2.27","-2.35","4.72","NA","4","2","74.6","9","51.14","22.61"
"CC(C)CCCC(C)CCCC(C)CCCC(C)C(O)=O","HMDB00795","L0400","b'Pristanic acid'","298.2872","297.2794","178.7877932","[M-H]","0","-1","6.9","7.22","-6.34","5","NA","2","1","37.3","13","90.7","38.82"
"CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O","HMDB00801","L0401","b'Phytanic acid'","312.3028","311.295","183.1718193","[M-H]","0","-1","7.28","7.4","-6.58","5.04","NA","2","1","37.3","14","95.28","41.09"
"CCCCCCCCCCCCCC(O)=O","HMDB00806","S0207","b'Myristic acid'","228.2089","227.2011","159.2088404","[M-H]","0","-1","6.1","5.37","-5.12","4.95","NA","2","1","37.3","12","67.88","30.1"
"CC(=O)N[C@@H](CC(O)=O)C(O)=O","HMDB00812","S0246","b'N-Acetyl-L-aspartic acid'","175.0481","174.0403","129.2116019","[M-H]","0","-2","-0.79","-1.4","-0.92","3.41","-1.5","5","3","103.7","4","35.98","15.29"
"OC(=O)CNC(=O)CC1=CC=CC=C1","HMDB00821","S0200","b'Phenylacetylglycine'","193.0739","192.0661","147.226808","[M-H]","0","-1","0.51","0.51","-2.46","3.99","-2.8","3","2","66.4","4","50.17","19.09"
"CCCCCCCCCCCCCCC(O)=O","HMDB00826","S0364","b'Pentadecanoic Acid'","242.2246","241.2168","162.7217392","[M-H]","0","-1","6.65","5.81","-5.86","4.95","NA","2","1","37.3","13","72.48","32.23"
"CCCCCCCCCCCCCCCCCC(O)=O","HMDB00827","S0233","b'Stearic acid'","284.2715","283.2637","174.4226661","[M-H]","0","-1","8.02","7.15","-6.63","4.95","NA","2","1","37.3","16","86.29","38.64"
"CCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCCCCCC","HMDB00829","L0373","b'N-Stearoylsphingosine (Ceramide C18)'","565.5434","564.5356","248.6654874","[M-H]","0","0","9.78","11.75","-7.25","13.62","0.02","3","3","69.56","32","174.98","77.92"
