Accession,Symbol,BT549,HS578T,MCF7,MCF7ADR,MDAMB231,MDAMB435,T47D,SF268,SF295,SF539,SNB19,SNB75,U251,COLO205,HCC2998,HCT116,HCT15,HT29,KM12,SW620,CCRFCEM,HL60,K562,MOLT4,RPMI8226,SR,LOXIMVI,M14,MALME3M,SKMEL2,SKMEL28,SKMEL5,UACC257,UACC62,A549,EKVX,H226,H23,H322M,H460,H522,HOP62,HOP92,IGROV1,OVCAR3,OVCAR4,OVCAR5,OVCAR8,SKOV3,DU145,PC3,7860,A498,ACHN,CAKI1,RXF393,SN12C,TK10,UO31
IPI00000787,PSMB9,1289400,0,0,0,1394200,1079600,0,10526000,777520,1422800,0,93995,0,0,0,0,0,0,0,0,2612000,2125200,0,3014800,1129600,0,0,0,86095,0,0,258780,0,0,0,0,3014100,75790,0,901690,0,0,293240,126780,0,0,2771500,0,834500,541480,123030,87357,1039300,1040800,0,1646000,0,512270,461890
IPI00000792,CRYZ,5603300,738050,3599400,6718400,1465500,552090,5596400,12025000,1026500,4792000,33951000,5921900,9417800,4960900,4668500,1055900,243130,11440000,2025700,7241100,1712700,1117700,6500600,0,574790,5096900,1999000,18596000,377090,5311700,700970,5190900,9819600,2533300,5361700,1033500,275670,6263700,1437300,1449000,3027700,190700,2401300,3144100,1892200,20517000,0,11045000,2801000,5690100,5490300,250600,36097000,20893000,41376000,17654000,13609000,9893300,11506000
IPI00000811,PSMB6,7784200,1457900,5051300,7658900,4935400,3457100,5697200,9444800,1456100,1478000,10650000,262340,4458000,4894900,2150700,1631800,1627800,8319400,4588700,14713000,2990300,5477900,2376000,1693500,4943000,8511600,3829300,15283000,1033200,981490,8835.7,3039900,3610900,12996000,4016300,93107,2258600,1925400,1670900,9812400,2040800,98203,2400500,235870,2285900,12764000,5765100,13912000,4389400,8460300,5081000,61389,4700800,2150900,2444100,2026600,3642600,1262100,2992200
IPI00000816,YWHAE,59132000,33047000,91418000,184540000,94274000,89957000,72625000,144550000,83526000,19202000,147630000,32282000,132970000,57309000,62575000,35869000,16866000,82043000,64184000,214920000,64178000,133440000,62189000,11980000,85225000,86355000,55857000,428230000,28718000,15106000,4062300,122180000,56685000,143800000,59839000,6999500,64170000,32989000,23546000,68701000,64900000,13948000,20413000,11540000,20414000,72622000,96676000,171440000,48483000,106490000,62683000,11555000,104070000,36588000,34374000,150280000,38314000,46126000,56943000
IPI00000821,MRPL16 (includes EG:293754),0,0,0,0,0,0,0,169090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00000858,RDBP,0,0,178920,312850,127570,0,0,0,0,0,0,65077,0,0,0,161150,0,184670,125860,0,0,0,0,72051,360270,0,0,0,0,99036,1940.8,0,0,0,0,0,0,0,0,235770,0,9499.1,50915,42155,0,0,0,150090,0,161500,527310,0,0,0,0,0,0,10996,0
IPI00000861,LASP1,4501700,5732900,1086000,26290000,30960000,1121600,20178000,12012000,27158000,7162900,8552100,16584000,10005000,15418000,5514100,5313100,766390,35060000,20599000,57469000,8028100,15482000,13713000,225780,7502400,5730800,6554600,74642000,3968100,6540500,13730,309870,16222000,9730900,11202000,173820,22849000,4514600,4463900,12479000,7232100,2829.5,6295100,2322800,959530,14681000,23459000,20344000,5212600,20593000,5446700,208580,12467000,5832100,14771000,14107000,11040000,5607400,11105000
IPI00000865,STARD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245550,0,0,0,0,0,0,0,684140,0,0
IPI00000873,VARS,922520,1038000,3339600,16680000,2397000,1077500,1518400,15403000,3684200,1750200,1389500,2211400,5274000,2624100,4993000,4204100,1972200,5623100,1083000,2985800,5831300,14058000,8408400,2815000,17382000,1483200,717990,12971000,1558400,1215100,160640,8578500,13009000,11330000,1734400,143220,2559100,2128200,37231,3793300,1597600,174660,828160,568210,412870,4043500,4244700,6030700,2151800,9856300,1511700,310060,3539900,1570400,1181000,5010000,3345100,2408200,2486400
IPI00000874,PRDX1,184810000,56671000,146780000,189030000,136770000,14398000,136240000,312880000,95591000,48936000,234580000,10666000,234580000,154980000,50080000,69236000,45962000,231330000,78992000,248900000,128590000,163670000,168680000,96471000,373560000,207930000,69936000,446690000,36429000,30366000,4539400,134130000,51365000,166440000,159130000,17399000,123760000,121200000,81960000,251150000,149030000,15587000,82604000,16412000,42213000,374830000,126560000,195890000,131780000,176070000,255550000,4988200,173620000,88216000,64318000,254470000,175900000,170020000,153810000
